"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"042","061",1064.980478,537.283019,297.647184524259,"food_sctg_01_08","CENTRALIZED"
"189","179",2243.198463,536.795898,141.30791798113,"food_sctg_01_08","CENTRALIZED"
"069","531",693.104185,529.81493,519.316079263033,"food_sctg_01_08","CENTRALIZED"
"379","459",2588.193483,529.706563,75,"food_sctg_01_08","CENTRALIZED"
"131","139",3504.213298,524.061701,75.1960350987744,"food_sctg_01_08","CENTRALIZED"
"279","460",1836.793789,521.87128,158.110692073448,"food_sctg_01_08","CENTRALIZED"
"179","131",856.807224,518.523794,375,"food_sctg_01_08","CENTRALIZED"
"209","409",1580.520604,517.140263,162.083311316326,"food_sctg_01_08","CENTRALIZED"
"519","429",1842.627436,511.304307,111.65942863992,"food_sctg_01_08","CENTRALIZED"
"364","364",12669.40914,506.828002,25,"food_sctg_01_08","CENTRALIZED"
"069","261",213.92817,506.731755,1750,"food_sctg_01_08","CENTRALIZED"
"489","409",1715.549842,503.61784,130.914030097879,"food_sctg_01_08","CENTRALIZED"
"179","292",2565.724311,503.274253,75,"food_sctg_01_08","CENTRALIZED"
"160","179",315.38993,502.932948,1213.38737297351,"food_sctg_01_08","CENTRALIZED"
"230","341",1217.637173,499.794141,175,"food_sctg_01_08","CENTRALIZED"
"363","363",16781.736865,499.775984,25,"food_sctg_01_08","CENTRALIZED"
"484","486",1862.258306,498.049633,175,"food_sctg_01_08","CENTRALIZED"
"487","131",439.698048,496.437423,875,"food_sctg_01_08","CENTRALIZED"
"129","139",1546.048428,492.83419,160.705396092547,"food_sctg_01_08","CENTRALIZED"
"124","129",3407.795836,492.363758,75,"food_sctg_01_08","CENTRALIZED"
"371","379",3032.916172,491.321195,75.8787044048905,"food_sctg_01_08","CENTRALIZED"
"069","484",346.789121,490.257161,926.795013633083,"food_sctg_01_08","CENTRALIZED"
"280","061",260.502224,487.078532,1250,"food_sctg_01_08","CENTRALIZED"
"559","131",524.343414,483.389411,625,"food_sctg_01_08","CENTRALIZED"
"279","311",1429.702746,477.041817,175,"food_sctg_01_08","CENTRALIZED"
"486","486",13555.730737,475.352699,25,"food_sctg_01_08","CENTRALIZED"
"202","209",2598.51796,470.866724,75,"food_sctg_01_08","CENTRALIZED"
"189","182",4155.200506,470.578349,74.9999734068188,"food_sctg_01_08","CENTRALIZED"
"089","081",3283.627624,468.820828,75,"food_sctg_01_08","CENTRALIZED"
"539","411",1496.841593,463.253403,164.555373478989,"food_sctg_01_08","CENTRALIZED"
"230","363",1212.822123,460.016972,175,"food_sctg_01_08","CENTRALIZED"
"479","061",229.644326,459.400464,1565.67863775567,"food_sctg_01_08","CENTRALIZED"
"489","041",476.303556,458.860575,770.391952521975,"food_sctg_01_08","CENTRALIZED"
"341","341",14524.63816,457.656936,25,"food_sctg_01_08","CENTRALIZED"
"049","049",2431.274868,456.986308,74.9987215966237,"food_sctg_01_08","CENTRALIZED"
"479","019",1662.021422,456.732285,150.740419006465,"food_sctg_01_08","CENTRALIZED"
"190","190",216451.385838,32765.909669,74.8486482959064,"food_sctg_01_08","REGIONALIZED"
"319","319",140704.285346,23190.609785,74.9545680848719,"food_sctg_01_08","REGIONALIZED"
"179","179",108856.714844,16939.21438,74.3632752269869,"food_sctg_01_08","REGIONALIZED"
"279","279",86755.469089,16020.887137,75.0262259408414,"food_sctg_01_08","REGIONALIZED"
"489","489",64255.229683,15436.641068,120.821216911453,"food_sctg_01_08","REGIONALIZED"
"380","380",65758.093709,12290.496307,75,"food_sctg_01_08","REGIONALIZED"
"460","460",61978.021917,10219.628371,74.7800401210246,"food_sctg_01_08","REGIONALIZED"
