origin_id,dest_id,road_distance_miles,road_duration_minutes,road_duration_minutes_static,status,error,generated_at_utc,api_provider,routing_preference
061,069,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:39Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
311,190,372.459835,350.266667,354.666667,OK,"",2026-03-15T08:27:40Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
249,519,187.263879,180.450000,191.400000,OK,"",2026-03-15T08:27:40Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
319,089,475.168764,444.616667,447.666667,OK,"",2026-03-15T08:27:40Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
551,559,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:41Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,065,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:41Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,350,550.887194,507.133333,511.816667,OK,"",2026-03-15T08:27:41Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
189,183,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:42Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,041,,,,ERROR_NO_DISTANCE,"{}",2026-03-15T08:27:42Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,062,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:42Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
399,393,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:43Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
139,131,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:43Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,341,2848.082200,2471.616667,2493.800000,OK,"",2026-03-15T08:27:43Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
160,559,1509.691526,1335.983333,1344.850000,OK,"",2026-03-15T08:27:44Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
399,190,683.047254,602.866667,619.916667,OK,"",2026-03-15T08:27:45Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,171,2072.645749,1783.050000,1797.966667,OK,"",2026-03-15T08:27:46Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,061,2073.059582,1803.066667,1803.883333,OK,"",2026-03-15T08:27:47Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,363,2848.082200,2471.600000,2493.800000,OK,"",2026-03-15T08:27:48Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,559,2170.512333,1875.266667,1893.683333,OK,"",2026-03-15T08:27:50Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
341,061,2848.215173,2479.666667,2494.483333,OK,"",2026-03-15T08:27:51Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
280,019,222.100433,229.216667,231.800000,OK,"",2026-03-15T08:27:53Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
299,292,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:53Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,531,944.087156,905.050000,924.016667,OK,"",2026-03-15T08:27:53Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
364,369,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:54Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,223,792.353903,745.250000,755.433333,OK,"",2026-03-15T08:27:54Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
487,341,1753.879842,1555.433333,1572.100000,OK,"",2026-03-15T08:27:55Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
319,311,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:56Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
486,061,1522.151883,1320.483333,1339.766667,OK,"",2026-03-15T08:27:56Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,486,1523.200758,1314.100000,1343.133333,OK,"",2026-03-15T08:27:57Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
261,061,2359.319698,2050.766667,2059.800000,OK,"",2026-03-15T08:27:58Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,484,1523.200758,1314.083333,1343.133333,OK,"",2026-03-15T08:27:59Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
379,519,213.211719,194.050000,197.900000,OK,"",2026-03-15T08:28:00Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
319,209,265.378316,266.266667,269.866667,OK,"",2026-03-15T08:28:00Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
399,061,2392.259828,2083.166667,2107.633333,OK,"",2026-03-15T08:28:01Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
531,539,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:02Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
129,019,528.025084,517.166667,537.100000,OK,"",2026-03-15T08:28:03Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
472,061,2150.631562,1877.933333,1887.200000,OK,"",2026-03-15T08:28:03Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
081,089,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:04Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,190,313.906784,284.000000,282.716667,OK,"",2026-03-15T08:28:04Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
129,122,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:05Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
299,061,1839.048706,1621.700000,1613.850000,OK,"",2026-03-15T08:28:05Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,559,355.607005,333.300000,326.333333,OK,"",2026-03-15T08:28:06Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
183,189,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:07Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
209,171,567.368443,493.766667,501.950000,OK,"",2026-03-15T08:28:07Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
487,171,968.864332,838.900000,855.500000,OK,"",2026-03-15T08:28:07Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,271,362.509196,338.183333,330.766667,OK,"",2026-03-15T08:28:08Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
409,402,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
129,124,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,539,944.087156,904.983333,924.016667,OK,"",2026-03-15T08:28:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
181,179,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:10Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
261,399,289.612414,268.800000,270.766667,OK,"",2026-03-15T08:28:10Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
299,064,1839.048706,1621.750000,1613.850000,OK,"",2026-03-15T08:28:10Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
